date,nav
22-06-2026,15.01830
19-06-2026,14.94600
18-06-2026,15.01060
17-06-2026,14.95600
16-06-2026,14.88970
15-06-2026,14.81730
12-06-2026,14.63720
11-06-2026,14.33680
10-06-2026,14.39380
09-06-2026,14.43830
08-06-2026,14.34090
05-06-2026,14.51120
04-06-2026,14.52410
03-06-2026,14.51280
02-06-2026,14.56210
01-06-2026,14.50410
29-05-2026,14.63220
27-05-2026,14.84540
26-05-2026,14.80950
25-05-2026,14.86390
22-05-2026,14.66230
21-05-2026,14.61420
20-05-2026,14.61090
19-05-2026,14.57610
18-05-2026,14.57770
15-05-2026,14.60060
14-05-2026,14.64160
13-05-2026,14.47250
12-05-2026,14.43350
11-05-2026,14.71870
08-05-2026,14.94640
07-05-2026,15.03610
06-05-2026,15.03220
05-05-2026,14.84120
04-05-2026,14.87150
30-04-2026,14.78600
29-04-2026,14.91000
28-04-2026,14.82050
27-04-2026,14.87830
24-04-2026,14.74560
23-04-2026,14.90160
22-04-2026,15.04110
21-04-2026,15.12070
20-04-2026,14.99590
17-04-2026,14.98790
16-04-2026,14.87100
15-04-2026,14.86010
13-04-2026,14.60900
10-04-2026,14.73390
09-04-2026,14.54220
08-04-2026,14.64910
07-04-2026,14.09330
06-04-2026,14.00400
02-04-2026,13.84160
01-04-2026,13.82310
31-03-2026,13.58880
30-03-2026,13.58890
27-03-2026,13.89940
25-03-2026,14.20300
24-03-2026,13.95690
23-03-2026,13.71890
20-03-2026,14.11510
19-03-2026,14.04720
18-03-2026,14.51880
17-03-2026,14.39510
16-03-2026,14.28700
13-03-2026,14.16490
12-03-2026,14.47700
11-03-2026,14.59450
10-03-2026,14.82170
09-03-2026,14.66060
06-03-2026,14.92740
05-03-2026,15.09570
04-03-2026,14.91670
02-03-2026,15.18070
27-02-2026,15.37910
26-02-2026,15.57460
25-02-2026,15.55920
24-02-2026,15.50690
23-02-2026,15.65130
20-02-2026,15.56990
19-02-2026,15.49420
18-02-2026,15.72780
17-02-2026,15.66060
16-02-2026,15.62550
13-02-2026,15.49360
12-02-2026,15.70440
11-02-2026,15.79000
10-02-2026,15.76630
09-02-2026,15.72820
06-02-2026,15.61420
05-02-2026,15.58250
04-02-2026,15.66100
03-02-2026,15.62010
02-02-2026,15.23130
30-01-2026,15.37790
29-01-2026,15.44870
28-01-2026,15.40260
27-01-2026,15.26190
23-01-2026,15.18190
22-01-2026,15.35370
21-01-2026,15.25980
20-01-2026,15.30710
19-01-2026,15.54560
16-01-2026,15.60730
14-01-2026,15.58250
13-01-2026,15.60660
12-01-2026,15.64270
09-01-2026,15.58120
08-01-2026,15.70560
07-01-2026,15.89480
06-01-2026,15.91090
05-01-2026,15.94040
02-01-2026,15.98060
01-01-2026,15.86100
31-12-2025,15.84100
30-12-2025,15.71840
29-12-2025,15.71920
26-12-2025,15.78230
24-12-2025,15.83300
23-12-2025,15.85610
22-12-2025,15.84440
19-12-2025,15.72320
18-12-2025,15.62650
17-12-2025,15.63730
16-12-2025,15.66820
15-12-2025,15.76360
12-12-2025,15.76980
11-12-2025,15.67360
10-12-2025,15.58880
09-12-2025,15.63530
08-12-2025,15.68170
05-12-2025,15.84850
04-12-2025,15.76570
03-12-2025,15.73560
02-12-2025,15.78720
01-12-2025,15.86250
28-11-2025,15.87360
27-11-2025,15.87760
26-11-2025,15.87710
25-11-2025,15.67620
24-11-2025,15.70810
21-11-2025,15.78850
20-11-2025,15.88510
19-11-2025,15.81700
18-11-2025,15.74510
17-11-2025,15.81650
14-11-2025,15.75080
13-11-2025,15.73840
12-11-2025,15.73520
11-11-2025,15.64060
10-11-2025,15.57610
07-11-2025,15.52280
06-11-2025,15.52510
04-11-2025,15.60210
03-11-2025,15.69790
31-10-2025,15.65300
30-10-2025,15.74170
29-10-2025,15.83690
28-10-2025,15.74090
27-10-2025,15.76930
24-10-2025,15.66360
23-10-2025,15.71500
20-10-2025,15.69140
17-10-2025,15.61970
16-10-2025,15.55890
15-10-2025,15.41380
14-10-2025,15.28890
13-10-2025,15.34400
10-10-2025,15.37820
09-10-2025,15.31960
08-10-2025,15.23700
07-10-2025,15.28830
06-10-2025,15.26990
03-10-2025,15.16870
01-10-2025,15.12960
30-09-2025,15.00650
26-09-2025,15.00300
25-09-2025,15.16580
24-09-2025,15.26920
23-09-2025,15.35810
22-09-2025,15.38690
19-09-2025,15.44110
18-09-2025,15.47450
17-09-2025,15.42050
16-09-2025,15.36930
15-09-2025,15.26860
12-09-2025,15.27590
11-09-2025,15.21310
10-09-2025,15.18850
09-09-2025,15.12490
08-09-2025,15.07350
05-09-2025,15.04710
04-09-2025,15.04620
03-09-2025,15.04630
02-09-2025,14.96130
01-09-2025,14.97100
29-08-2025,14.83640
28-08-2025,14.88120
26-08-2025,15.02030
25-08-2025,15.18380
22-08-2025,15.12750
21-08-2025,15.25140
20-08-2025,15.24050
19-08-2025,15.19570
18-08-2025,15.12370
14-08-2025,14.96600
13-08-2025,14.95950
12-08-2025,14.87750
11-08-2025,14.91980
08-08-2025,14.77960
07-08-2025,14.92710
06-08-2025,14.91030
05-08-2025,14.96900
04-08-2025,15.01150
01-08-2025,14.90430
31-07-2025,15.03670
30-07-2025,15.09220
29-07-2025,15.07310
28-07-2025,14.97940
25-07-2025,15.07040
24-07-2025,15.21730
23-07-2025,15.30150
22-07-2025,15.21760
21-07-2025,15.24210
18-07-2025,15.17070
17-07-2025,15.25400
16-07-2025,15.31060
15-07-2025,15.29590
14-07-2025,15.22240
11-07-2025,15.24440
10-07-2025,15.36810
09-07-2025,15.43420
08-07-2025,15.45920
07-07-2025,15.42810
04-07-2025,15.42320
03-07-2025,15.38260
02-07-2025,15.42110
01-07-2025,15.47320
30-06-2025,15.46350
27-06-2025,15.51320
26-06-2025,15.43330
25-06-2025,15.25770
24-06-2025,15.14560
23-06-2025,15.08630
20-06-2025,15.15250
19-06-2025,14.95830
18-06-2025,15.00440
17-06-2025,15.03320
16-06-2025,15.09810
13-06-2025,14.96590
12-06-2025,15.07120
11-06-2025,15.24550
10-06-2025,15.23290
09-06-2025,15.22840
06-06-2025,15.14580
05-06-2025,14.98730
04-06-2025,14.91130
03-06-2025,14.86040
02-06-2025,14.95720
30-05-2025,14.96390
29-05-2025,15.00820
28-05-2025,14.96350
27-05-2025,14.99990
26-05-2025,15.09430
23-05-2025,15.01020
22-05-2025,14.87340
21-05-2025,14.98380
20-05-2025,14.88940
19-05-2025,15.06800
16-05-2025,15.09280
15-05-2025,15.07440
14-05-2025,14.85070
13-05-2025,14.78830
12-05-2025,14.96120
09-05-2025,14.40620
08-05-2025,14.54740
07-05-2025,14.67070
06-05-2025,14.64150
05-05-2025,14.74320
